stop_name,nb_metro,nb_rer,line,Name
PROVINS,0,0,,provins
LA GRANDE PAROISSE,0,0,,lagrandeparoisse
ACHERES-GRAND-CORMIER,0,1,,acheresgrandcormier
RIS-ORANGIS,0,1,,risorangis
PETIT-VAUX,0,1,,petitvaux
ORANGIS-BOIS DE L'EPINE,0,1,,orangisboisdelepine
MASSY-VERRIERES,0,2,,massyverrieres
BRUNOY,0,1,,brunoy
ETRECHY,0,1,,etrechy
NOGENT-SUR-MARNE,0,1,A,nogentsurmarne
NOGENT-LE-PERREUX,0,1,,nogentleperreux
VAL-DE-FONTENAY,0,2,A,valdefontenay
ROSNY-BOIS-PERRIER,0,1,,rosnyboisperrier
LE RAINCY-VILLEMOMBLE-MONTFERMEIL,0,1,,leraincyvillemomblemontfermeil
VITRY-SUR-SEINE,0,1,,vitrysurseine
LES ARDOINES,0,1,,lesardoines
PANTIN,0,1,,pantin
SURESNES-MONT VALERIEN,0,0,,suresnesmontvalerien
CHAVILLE RIVE DROITE,0,0,,chavillerivedroite
VAUCRESSON,0,0,,vaucresson
NANTERRE-PREFECTURE,0,1,,nanterreprefecture
LA GARENNE-COLOMBES,0,0,,lagarennecolombes
LE STADE,0,0,,lestade
VERT-GALANT,0,1,B,vertgalant
VILLENEUVE-LE-ROI,0,1,,villeneuveleroi
ABLON,0,1,,ablon
CHESSY - MARNE-LA-VALLEE,0,1,,chessymarnelavallee
MAGENTA,0,1,,magenta
PORTE D'ISSY,0,0,,portedissy
FUNICULAIRE MONTMARTRE STATION BASSE,0,0,,funiculairemontmartrestationbasse
BUEIL,0,0,,bueil
VILLENEUVE-SUR-YONNE,0,0,,villeneuvesuryonne
LAROCHE-MIGENNES,0,0,,larochemigennes
CHATEAUDUN,0,0,,chateaudun
BOUFFEMONT-MOISSELLES,0,0,,bouffemontmoisselles
VILLIERS-LE-BEL-GONESSE-ARNOUVILLE,0,1,,villierslebelgonessearnouville
LES NOUES,0,1,,lesnoues
BELLOY-SAINT-MARTIN,0,0,,belloysaintmartin
LUZARCHES,0,0,,luzarches
FONTAINE-MICHALON,0,1,B,fontainemichalon
LES BACONNETS,0,1,B,lesbaconnets
LES FLANADES,0,0,,lesflanades
ALCIDE D'ORBIGNY,0,0,,alcidedorbigny
ROGER SEMAT,0,0,,rogersemat
DOMAINE CHERIOUX,0,0,,domainecherioux
PORTE DE THIAIS,0,0,,portedethiais
CRETEIL POMPADOUR,0,1,,creteilpompadour
MONTARGIS,0,0,,montargis
LE PLESSIS-BELLEVILLE,0,0,,leplessisbelleville
CHATEAU-THIERRY,0,0,,chateauthierry
LA NOUE,0,0,,lanoue
VILLETANEUSE-UNIVERSITE,0,0,,villetaneuseuniversite
VAUBAN,0,0,,vauban
