duree,date,line_num,line_type,what,type_inc
0 days 00:00:00.000000000,2018-11-16 07:33:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:33:00,3,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:33:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:35:00,3,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:35:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:35:00,A,rer,breakdown,unscheduled
0 days 02:15:00.000000000,2018-11-16 07:37:00,3,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:37:00,5,metro,passenger,unscheduled
0 days 01:02:00.000000000,2018-11-16 07:37:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:38:00,5,metro,passenger,unscheduled
0 days 00:02:00.000000000,2018-11-16 07:39:00,5,metro,passenger,unscheduled
0 days 00:01:00.000000000,2018-11-16 07:42:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:44:00,5,metro,passenger,unscheduled
0 days 00:04:00.000000000,2018-11-16 07:45:00,5,metro,passenger,unscheduled
0 days 00:01:00.000000000,2018-11-16 07:50:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:52:00,5,metro,passenger,unscheduled
0 days 00:01:00.000000000,2018-11-16 07:53:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 07:55:00,5,metro,passenger,unscheduled
0 days 00:01:00.000000000,2018-11-16 07:56:00,5,metro,passenger,unscheduled
0 days 00:01:00.000000000,2018-11-16 07:58:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:00:00,5,metro,passenger,unscheduled
0 days 00:04:00.000000000,2018-11-16 08:01:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:06:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:07:00,5,metro,passenger,unscheduled
0 days 00:01:00.000000000,2018-11-16 08:08:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:10:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:11:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:12:00,5,metro,passenger,unscheduled
0 days 00:03:00.000000000,2018-11-16 08:13:00,5,metro,passenger,unscheduled
0 days 00:02:00.000000000,2018-11-16 08:17:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:20:00,5,metro,passenger,unscheduled
0 days 00:02:00.000000000,2018-11-16 08:21:00,5,metro,passenger,unscheduled
0 days 00:02:00.000000000,2018-11-16 08:24:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:27:00,5,metro,passenger,unscheduled
0 days 00:04:00.000000000,2018-11-16 08:28:00,5,metro,passenger,unscheduled
0 days 00:03:00.000000000,2018-11-16 08:33:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:37:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:38:00,5,metro,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:39:00,5,metro,passenger,unscheduled
0 days 00:01:00.000000000,2018-11-16 08:40:00,A,rer,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 08:40:00,4,metro,smoke,unscheduled
0 days 00:01:00.000000000,2018-11-16 08:42:00,5,metro,passenger,unscheduled
0 days 00:01:00.000000000,2018-11-16 08:42:00,A,rer,breakdown,unscheduled
0 days 00:06:00.000000000,2018-11-16 08:44:00,A,rer,breakdown,unscheduled
0 days 00:06:00.000000000,2018-11-16 08:44:00,4,metro,smoke,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:51:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:52:00,4,metro,smoke,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:52:00,A,rer,breakdown,unscheduled
0 days 00:02:00.000000000,2018-11-16 08:53:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:56:00,4,metro,smoke,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:56:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:57:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:58:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 08:58:00,4,metro,smoke,unscheduled
0 days 00:01:00.000000000,2018-11-16 08:59:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:01:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:01:00,4,metro,smoke,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:02:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:04:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:04:00,4,metro,smoke,unscheduled
0 days 00:02:00.000000000,2018-11-16 09:05:00,A,rer,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:08:00,A,rer,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:08:00,4,metro,smoke,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:10:00,A,rer,breakdown,unscheduled
0 days 00:03:00.000000000,2018-11-16 09:11:00,A,rer,breakdown,unscheduled
0 days 00:03:00.000000000,2018-11-16 09:11:00,4,metro,smoke,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:15:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:16:00,4,metro,smoke,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:16:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:17:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:18:00,4,metro,smoke,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:18:00,A,rer,breakdown,unscheduled
0 days 00:04:00.000000000,2018-11-16 09:19:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:24:00,4,metro,smoke,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:24:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:25:00,A,rer,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:26:00,4,metro,smoke,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:26:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:28:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:29:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:29:00,4,metro,smoke,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:30:00,A,rer,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:32:00,4,metro,smoke,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:32:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:34:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:35:00,4,metro,smoke,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:35:00,A,rer,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:36:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:38:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:38:00,4,metro,smoke,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:39:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:41:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:41:00,4,metro,smoke,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:42:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:43:00,4,metro,smoke,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:43:00,A,rer,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:44:00,A,rer,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:46:00,A,rer,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:46:00,4,metro,smoke,unscheduled
0 days 00:01:00.000000000,2018-11-16 09:48:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:50:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:50:00,4,metro,smoke,unscheduled
0 days 01:12:00.000000000,2018-11-16 09:51:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:54:00,3,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 09:56:00,3,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 10:01:00,3,metro,breakdown,unscheduled
0 days 00:03:00.000000000,2018-11-16 11:04:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 11:08:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:10:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 11:11:00,A,rer,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 11:13:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 11:15:00,6,metro,breakdown,unscheduled
0 days 00:02:00.000000000,2018-11-16 11:17:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:20:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 11:21:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:23:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 11:24:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:26:00,6,metro,breakdown,unscheduled
0 days 00:02:00.000000000,2018-11-16 11:27:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 11:30:00,6,metro,breakdown,unscheduled
0 days 00:03:00.000000000,2018-11-16 11:32:00,6,metro,breakdown,unscheduled
0 days 00:03:00.000000000,2018-11-16 11:36:00,6,metro,breakdown,unscheduled
